Parcela;Especie;DAP
11;Gochnatia polymorpha;24,15972036
11;Ilex theezans;6,175211792
11;Araucaria angustifolia;47,68282095
11;Araucaria angustifolia;13,71915609
11;Myrciaria;6,102507767
11;Dasyphyllum tomentosum;11,7456348
11;Araucaria angustifolia;25,14648101
11;Sapium glandulosum;17,02957891
11;Lithraea brasiliensis;21,16552515
11;Casearia decandra;10,02676141
11;Matayba elaeagnoides;6,429859701
11;Sapium glandulosum;6,111549815
11;Lithraea brasiliensis;23,90507245
11;Lithraea brasiliensis;26,92990055
11;Casearia decandra;8,689859893
11;Calyptranthes concinna;7,604209328
11;Myrcia palustris;6,811831564
11;Xylosma ciliatifolia;5,602253997
11;Araucaria angustifolia;4,074366543
11;Myrsine coriacea;6,047887837
11;Drimys brasiliensis;13,12340358
11;Zanthoxylum rhoifolium;8,498873961
12;Podocarpus lambertii;6,652676621
12;Podocarpus lambertii;6,334366735
12;Podocarpus lambertii;8,085071109
12;Myrcia laruotteana;8,467042972
12;Myrsine umbellata;8,307888029
12;Ocotea pulchella;19,73521294
12;Araucaria angustifolia;30,87605896
12;Ilex dumosa;6,207042781
12;Casearia decandra;16,37626254
12;Myrsine umbellata;11,61831085
12;Araucaria angustifolia;9,103662745
12;Myrsine umbellata;9,963099438
12;Casearia decandra;11,23633898
12;Lithraea brasiliensis;19,63971998
12;Podocarpus lambertii;23,87324146
12;Drimys brasiliensis;8,371550007
12;Lithraea brasiliensis;14,00563499
12;Myrsine coriacea;14,19662092
12;Piptocarpha angustifolia;16,87042397
12;Myrsine umbellata;17,99608231
12;Lithraea brasiliensis;24,92366409
12;Lithraea brasiliensis;22,18619907
12;Dasyphyllum tomentosum;38,06986239
12;Prunus myrtifolia;15,46986047
12;Myrsine umbellata;8,785352859
12;Myrsine umbellata;11,56512292
12;Casearia decandra;8,116902098
12;Lithraea brasiliensis;23,90507245
12;Duranta vestita;5,952394872
12;Lithraea brasiliensis;14,29211389
12;Ilex dumosa;10,24957834
12;Casearia decandra;8,276057041
12;Podocarpus lambertii;8,817183847
12;Araucaria angustifolia;7,639437268
12;Podocarpus lambertii;8,944507802
12;Myrsine umbellata;9,740282517
12;Araucaria angustifolia;39,88422874
12;Zanthoxylum kleinii;8,75352187
12;Myrsine umbellata;8,212395064
12;Araucaria angustifolia;38,83380611
12;Myrsine umbellata;12,60507149
12;Clethra scabra;13,36901522
12;Myrsine umbellata;13,27352225
13;Myrcia palustris;8,381831275
13;Calyptranthes concinna;18,510972
13;Myrcia palustris;10,02256693
13;Myrceugenia myrcioides;8,423853286
13;Ilex theezans;25,24197397
13;Ocotea pulchella;27,50197417
13;Myrsine coriacea;12,63690248
13;Eugenia pluriflora;6,939155519
13;Myrcia guianensis;12,22309963
13;Ilex theezans;16,93408594
13;Lithraea brasiliensis;9,994930426
13;Calyptranthes concinna;5,092958179
13;Drimys brasiliensis;5,476410353
13;Vernonanthura discolor;12,98704336
13;Zanthoxylum kleinii;20,81746656
13;Eugenia pluriflora;9,135493733
13;Calyptranthes concinna;7,463195983
13;Zanthoxylum kleinii;23,68225553
13;Araucaria angustifolia;23,7777485
13;Calyptranthes concinna;6,215199214
13;Calyptranthes concinna;6,219191961
13;Myrcia guianensis;7,04644918
13;Calyptranthes concinna;11,74947287
13;Calyptranthes concinna;11,90449186
13;Zanthoxylum kleinii;10,37690229
13;Araucaria angustifolia;45,00901791
13;Lithraea brasiliensis;12,15943765
13;Lithraea brasiliensis;9,45380362
13;Ilex theezans;11,26816997
13;Calyptranthes concinna;5,656340704
13;Vernonanthura discolor;11,68197282
13;Eugenia pluriflora;11,65014183
13;Duranta vestita;8,338564761
13;Myrsine umbellata;12,36682043
13;Podocarpus lambertii;8,276057041
13;Podocarpus lambertii;5,411268065
13;Podocarpus lambertii;7,60760628
13;Zanthoxylum kleinii;13,81464906
13;Myrcia guianensis;9,708451529
13;Lithraea brasiliensis;15,59718442
13;Myrcia palustris;13,24169127
13;Myrsine umbellata;5,092958179
13;NI;16,96033215
13;Calyptranthes concinna;15,48975841
13;Araucaria angustifolia;7,448451337
14;Lithraea brasiliensis;18,34655457
14;Gochnatia polymorpha;19,35324108
14;Roupala montana;7,130141451
14;Jacaranda puberula;5,53859202
14;Lithraea brasiliensis;13,48270652
14;Myrsine umbellata;7,002817496
14;Ilex theezans;11,56025958
14;Podocarpus lambertii;6,175211792
14;Myrceugenia euosma;6,366197724
14;Podocarpus lambertii;8,180564075
14;Myrcia guianensis;7,254393344
14;Sebastiania commersoniana;11,01352206
14;Myrsine umbellata;14,8332407
14;Podocarpus lambertii;14,76957872
14;Drimys brasiliensis;8,53070495
14;Eugenia pluriflora;7,002817496
14;Casearia decandra;5,793239929
14;Dasyphyllum tomentosum;14,8332407
14;Lithraea brasiliensis;9,803944494
14;Lithraea brasiliensis;12,70056446
14;Lithraea brasiliensis;42,22214763
14;Podocarpus lambertii;30,4940871
14;Myrcia laruotteana;15,88905262
14;Zanthoxylum kleinii;21,32676237
14;Cupania vernalis;7,352958371
14;Araucaria angustifolia;12,3185926
14;Lithraea brasiliensis;16,42479013
14;Zanthoxylum kleinii;22,35371828
14;Ilex theezans;27,56444154
14;Casearia decandra;5,570423008
